Kazuya Tsurumaki
Tetsuya Nomura
Craig McCracken
Chris Sasaki
Cory Loftis
Stephen Silver
Naoko Takeuchi
Jim Lee
Genndy Tartakovsky
Rumiko Takahashi
Tex Avery
Bill Watterson
Hayao Miyazaki
Bruce Timm
Lauren Faust
Frank Miller
Eiichiro Oda
Akira Toriyama
Takehiko Inoue
Maurice Noble
Mary Blair
Tyrus Wong
Joe Madureira
Aaron Blaise
Mark Kennedy
Steve Ditko
Bobby Chiu
Andreas Deja
Chris Sanders
Masashi Kishimoto
Brittney Lee
Dave Gibbons
Walt Simonson
Friz Freleng
Butch Hartman
Bill Peet
Dave Stevens
Todd McFarlane
Chuck Jones
Eric Goldberg
Yoshitaka Amano
Jack Kirby
Glen Murakami
Glen Keane
Alex Ross
Mike Mignola
Kevin Dart
