Professor Binns
Draco Malfoy
Gregorovitch
Severus Snape
Bathilda Bagshot
Padma Patil
Lily Potter
Justin Finch-Fletchley
George Weasley
Xenophilius Lovegood
Regulus Black
Aberforth Dumbledore
Rufus Scrimgeour
Firenze
Aragog
Blaise Zabini
Andromeda Tonks
Lavender Brown
Arthur Weasley
Professor Flitwick
Madam Rosmerta
Cedric Diggory
Colin Creevey
Ginny Weasley
Hannah Abbott
Winky
Madam Malkin
Dobby
Ernie Macmillan
Igor Karkaroff
Viktor Krum
Fluffy
Professor Sprout
Rowena Ravenclaw
Harry Potter
Angelina Johnson
Minerva McGonagall
Cho Chang
Dean Thomas
Godric Gryffindor
Pansy Parkinson
Susan Bones
Gilderoy Lockhart
Neville Longbottom
Nymphadora Tonks
Augusta Longbottom
Garrick Ollivander
Stan Shunpike
Rubeus Hagrid
Albus Dumbledore
Narcissa Malfoy
Charlie Weasley
Olympe Maxime
Helga Hufflepuff
Morfin Gaunt
Salazar Slytherin
Alecto Carrow
Professor Trelawney
Zacharias Smith
Hermione Granger
Madame Hooch
Mary Riddle
Peter Pettigrew
Parvati Patil
Dolores Umbridge
Cornelius Fudge
Molly Weasley
Mundungus Fletcher
Fenrir Greyback
Fleur Delacour
Amycus Carrow
James Potter
Voldemort
Percy Weasley
Remus Lupin
Bellatrix Lestrange
Seamus Finnigan
Ron Weasley
Merope Gaunt
Griphook
Kingsley Shacklebolt
Luna Lovegood
Lucius Malfoy
Kreacher
Rita Skeeter
Marcus Flint
Grawp
Fred Weasley
Frank Bryce
Bill Weasley
Marvolo Gaunt
Oliver Wood
Sirius Black
