Gregor Mendel
Thomas Edison
Alfred Nobel
Georg Ohm
Gottlob Frege
George Boole
Benjamin Franklin
Ada Lovelace
Joseph Lister
Leonhard Euler
Brahmagupta
James Watt
Max Planck
Tycho Brahe
Henri Poincaré
David Hilbert
Srinivasa Ramanujan
Arthur Schopenhauer
Carl Linnaeus
Giuseppe Peano
Joseph Fourier
Carl Sagan
Nicolaus Copernicus
Arthur Cayley
Michael Polanyi
Richard Courant
Nicolas Steno
Wilhelm Wundt
Claude-Louis Navier
Euclid
Marie Curie
John Harrison
Henri Cartan
Bernhard Riemann
David Brewster
Paul Ehrlich
Claude Shannon
Joseph-Louis Lagrange
Norbert Wiener
Robert Hooke
Nikola Tesla
Charles Darwin
Ibn al-Haytham
Maxwell Perkins
Joseph Henry
Emmy Noether
Richard Feynman
Albert Einstein
Isaac Newton
Charles Babbage
Blaise Pascal
Erwin Schrödinger
Christiaan Huygens
John Napier
Dmitri Mendeleev
Galileo Galilei
Enrico Fermi
Thomas Young
William Thomson
William Harvey
Eugene Wigner
Alan Turing
Kurt Gödel
Ernst Mach
Archimedes
Louis Pasteur
Paul Dirac
Michael Faraday
Henri Becquerel
Niels Bohr
Andre-Marie Ampere
Felix Hausdorff
Hermann Minkowski
Werner Heisenberg
John Wheeler
Évariste Galois
Robert Boyle
Johannes Kepler
