Emmy Noether
Alan Turing
Thomas Edison
Henri Cartan
Paul Ehrlich
Michael Faraday
William Thomson
Srinivasa Ramanujan
Ernst Mach
John Napier
Robert Hooke
Bernhard Riemann
Kurt Godel
Erwin Schrodinger
James Watt
William Harvey
Richard Feynman
Max Planck
Robert Boyle
Ibn al-Haytham
Thomas Young
John Harrison
Christiaan Huygens
Albert Einstein
Joseph Fourier
Henri Poincare
Michael Polanyi
Claude Shannon
Paul Dirac
Arthur Schopenhauer
Joseph Henry
Carl Sagan
Nikola Tesla
Marie Curie
Norbert Wiener
Giuseppe Peano
David Hilbert
Leonhard Euler
Charles Darwin
Andre-Marie Ampere
David Brewster
George Boole
Niels Bohr
Carl Linnaeus
Ada Lovelace
Nicolaus Copernicus
Benjamin Franklin
Blaise Pascal
Charles Babbage
Joseph-Louis Lagrange
Arthur Cayley
Enrico Fermi
Gottlob Frege
Isaac Newton
Henri Becquerel
Louis Pasteur
Claude-Louis Navier
Archimedes
Eugene Wigner
Tycho Brahe
Euclid
Richard Courant
Werner Heisenberg
Brahmagupta
Felix Hausdorff
Georg Ohm
Nicolas Steno
Dmitri Mendeleev
Joseph Lister
Hermann Minkowski
Alfred Nobel
Maxwell Perkins
Johannes Kepler
Wilhelm Wundt
Évariste Galois
Galileo Galilei
John Wheeler
Gregor Mendel
Joseph Louis Lagrange
